etapa,manzana,lote,ubicacion_casa,area_total,costo_terreno_m2,costo_construccion_m2,,modulo_m2,,,aplica_calle,aplica_parque,,,bono,,,,,,,,,,,,,,,,
PRIMERA,A,1,ESPECIAL,90.25,600,1697,54150,50.6,85868,140018,1400,,"S/ 141,418","S/ 155,560",46545,"S/ 94,873","S/ 109,015",INICIAL DE 5000,"S/ 115,015","S/ 114,015","S/ 113,015","S/ 12,094","S/ 16,647",,,,PRIMERA,3000,37.5,1,0
PRIMERA,A,2,ESPECIAL,90.16,600,1697,54096,50.6,85868,139964,1400,,"S/ 141,364","S/ 155,500",46545,"S/ 94,819","S/ 108,955",INICIAL DE 5000,"S/ 114,955","S/ 113,955","S/ 112,955","S/ 12,081","S/ 16,647",,,,,5000,50.6,2,5000
PRIMERA,A,3,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,10000,81.75,,
PRIMERA,A,4,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,15000,,,
PRIMERA,A,5,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,6,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,7,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,8,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,9,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
PRIMERA,A,10,NORMAL,87.72,600,1697,52632,50.6,85868,138500,,,"S/ 138,500","S/ 152,350",46545,"S/ 91,955","S/ 105,805","S/ 112,805","S/ 111,805","S/ 110,805","S/ 109,805","S/ 11,754","S/ 16,647",,,,,,,,
